Tournament,Strategy,WinRate
DeathMatchTournament,RandomStrategy,0.54
DeathMatchTournament,StopAfterNOpensStrategy,0.46
EliminationTournament,RandomStrategy,0.096
EliminationTournament,StopAfterNOpensStrategy,0.091
EliminationTournament,BetterThanPercentStrategy,0.357
EliminationTournament,MaxAfterNStrategy,0.456
LeagueTournament,RandomStrategy,0.058
LeagueTournament,StopAfterNOpensStrategy,0.051
LeagueTournament,BetterThanPercentStrategy,0.396
LeagueTournament,MaxAfterNStrategy,0.495
ChampionshipTournament,RandomStrategy,0.158
ChampionshipTournament,StopAfterNOpensStrategy,0.153
ChampionshipTournament,BetterThanPercentStrategy,0.409
ChampionshipTournament,MaxAfterNStrategy,0.28
